date,price,cost,comp1_price,comp2_price,comp3_price,volume
2023-01-01,97.66,86.46,98.39,99.1,97.37,13513
2023-01-02,96.46,87.25,95.37,96.25,97.38,13605
2023-01-03,94.67,86.4,94.41,94.69,94.5,16540
2023-01-04,97.32,87.51,99.12,96.9,97.54,14927
2023-01-05,94.08,86.38,93.31,94.61,93.85,13332
2023-01-06,96.73,88.24,97.27,97.17,97.23,13643
2023-01-07,98.63,87.79,98.31,99.22,99.34,13603
2023-01-08,100.89,88.0,101.76,101.22,101.35,14638
2023-01-09,97.71,88.68,99.49,99.68,97.38,13867
2023-01-10,97.14,89.05,96.02,98.24,96.82,13471
2023-01-11,101.3,88.72,100.1,100.59,101.82,15250
2023-01-12,100.19,86.62,100.81,99.88,98.65,13293
2023-01-13,95.88,86.9,95.49,95.23,94.96,13154
2023-01-14,97.48,87.42,97.87,96.26,97.52,12938
2023-01-15,97.04,87.44,96.18,98.43,97.78,13381
2023-01-16,96.87,87.4,94.87,96.7,97.02,14275
2023-01-17,96.84,86.4,98.17,99.17,96.44,14412
2023-01-18,96.39,86.81,98.05,95.97,97.3,14773
2023-01-19,96.53,86.22,97.42,96.83,97.65,14538
2023-01-20,94.51,86.12,94.03,92.7,94.2,13507
2023-01-21,95.11,85.24,94.37,93.98,94.71,13049
2023-01-22,98.01,85.91,96.11,98.35,98.39,13520
2023-01-23,96.01,85.56,95.42,94.35,95.69,14336
2023-01-24,98.72,85.84,100.18,99.93,98.15,15100
2023-01-25,96.48,86.94,95.69,95.95,96.96,15050
2023-01-26,95.69,85.42,95.4,96.19,95.8,13280
2023-01-27,100.22,87.95,100.08,98.67,99.89,13479
2023-01-28,93.17,86.19,92.92,93.44,93.43,13517
2023-01-29,91.16,86.06,92.47,89.55,92.39,13910
2023-01-30,93.61,85.19,94.24,91.96,93.34,13387
2023-01-31,98.79,86.22,98.5,97.11,98.66,13949
2023-02-01,93.46,85.19,93.73,95.29,92.97,14500
2023-02-02,101.08,86.1,100.57,101.99,100.82,14741
2023-02-03,96.29,87.8,97.42,97.14,96.85,14584
2023-02-04,94.93,85.7,95.89,97.59,97.3,13413
2023-02-05,99.67,86.76,99.19,98.9,100.45,13909
2023-02-06,100.43,85.19,100.52,100.95,98.35,13939
2023-02-07,101.65,85.7,101.25,100.76,102.31,14468
2023-02-08,97.19,86.53,98.34,98.71,99.21,15045
2023-02-09,96.5,84.55,94.73,97.73,97.87,14970
2023-02-10,95.63,86.3,98.49,96.38,97.33,14323
2023-02-11,98.02,85.69,96.57,96.43,97.78,14478
2023-02-12,93.21,84.84,94.53,93.13,94.58,13004
2023-02-13,94.59,85.65,92.05,93.49,95.24,14052
2023-02-14,96.87,85.82,96.71,94.76,96.87,14033
2023-02-15,94.48,85.25,93.69,96.13,95.78,14337
2023-02-16,91.79,83.55,93.37,92.38,92.33,14582
2023-02-17,95.64,84.04,95.44,95.78,94.86,13653
2023-02-18,95.45,84.61,95.57,95.95,96.85,15440
2023-02-19,94.64,84.81,94.58,93.16,95.92,13217
2023-02-20,97.71,84.9,98.54,98.12,97.63,13290
2023-02-21,90.71,84.66,92.48,90.47,93.44,15220
2023-02-22,92.0,83.51,93.71,93.06,94.58,13798
2023-02-23,93.21,84.56,95.11,91.76,92.21,14211
2023-02-24,90.54,84.86,89.57,93.12,90.29,13759
2023-02-25,95.25,85.06,96.51,95.8,94.75,13827
2023-02-26,96.12,85.63,95.49,95.5,95.7,13856
2023-02-27,99.18,85.27,97.4,99.56,97.77,13394
2023-02-28,95.71,84.94,94.87,95.35,97.55,14553
2023-03-01,92.58,84.64,92.41,93.14,93.02,14300
2023-03-02,98.24,83.75,98.38,97.66,97.5,13449
2023-03-03,96.03,85.11,97.42,97.81,96.11,14107
2023-03-04,96.74,84.91,97.58,97.34,94.76,12329
2023-03-05,94.55,84.7,92.8,94.98,94.53,12929
2023-03-06,91.36,83.35,91.42,91.72,89.3,13139
2023-03-07,90.75,83.67,91.67,91.27,93.94,15466
2023-03-08,96.79,85.47,98.01,96.69,97.49,16372
2023-03-09,99.09,84.69,99.34,98.34,101.7,13632
2023-03-10,99.25,85.42,98.08,98.6,100.81,12394
2023-03-11,93.14,85.04,91.46,92.94,93.88,12977
2023-03-12,94.69,84.9,92.86,95.07,92.55,13029
2023-03-13,96.49,85.62,96.33,97.41,96.89,14218
2023-03-14,91.91,84.94,91.81,92.01,93.11,14406
2023-03-15,96.82,85.36,97.25,96.08,94.37,14380
2023-03-16,94.24,85.33,93.96,94.82,93.24,14536
2023-03-17,94.54,84.76,94.5,92.87,93.2,14081
2023-03-18,92.69,85.03,93.03,91.92,92.42,11901
2023-03-19,95.18,85.42,94.67,96.71,96.94,13290
2023-03-20,92.78,84.86,94.12,92.56,94.87,14407
2023-03-21,92.06,86.1,93.25,94.09,92.56,14303
2023-03-22,88.08,84.14,88.32,88.24,86.08,15938
2023-03-23,95.25,84.59,94.88,92.63,95.39,13661
2023-03-24,98.79,84.49,97.55,97.18,97.21,13222
2023-03-25,99.11,86.15,98.79,99.06,97.45,13375
2023-03-26,95.86,85.16,94.28,96.13,94.39,12715
2023-03-27,93.98,85.56,93.27,94.91,95.15,12837
2023-03-28,92.85,83.68,93.53,93.29,94.5,14540
2023-03-29,94.03,85.12,93.8,93.61,92.66,15358
2023-03-30,95.61,85.63,95.08,94.68,96.07,14023
2023-03-31,97.02,84.94,97.14,97.56,96.1,13038
2023-04-01,98.06,85.74,98.66,97.73,96.85,13712
2023-04-02,93.87,84.66,92.73,94.36,93.74,13051
2023-04-03,97.24,86.23,95.14,97.14,96.34,13350
2023-04-04,96.05,86.69,96.13,93.65,95.26,14426
2023-04-05,92.8,84.75,92.12,91.7,93.27,15229
2023-04-06,94.15,84.61,93.69,93.57,93.16,15955
2023-04-07,97.19,85.61,96.8,97.38,96.16,14119
2023-04-08,96.25,85.76,98.37,96.07,95.41,14067
2023-04-09,92.38,84.35,92.49,89.91,92.92,12853
2023-04-10,96.42,84.42,96.81,96.96,98.84,13535
2023-04-11,94.93,84.47,95.35,94.48,92.45,14417
2023-04-12,93.19,83.4,95.1,94.56,92.78,15131
2023-04-13,92.62,83.61,93.09,91.65,92.44,13534
2023-04-14,88.25,83.47,88.71,88.21,89.87,13682
2023-04-15,95.63,83.46,94.42,96.38,94.78,13330
2023-04-16,94.25,83.93,94.58,93.54,94.71,13578
2023-04-17,91.76,84.21,94.17,93.26,91.68,14684
2023-04-18,96.27,85.56,96.11,95.88,95.79,14746
2023-04-19,95.68,83.81,96.25,95.29,96.89,14539
2023-04-20,92.98,85.26,92.78,91.62,92.41,13784
2023-04-21,92.85,84.4,91.84,93.38,93.32,12827
2023-04-22,95.62,84.09,96.73,93.19,96.0,14306
2023-04-23,90.76,84.59,91.08,91.42,92.07,13555
2023-04-24,93.21,83.34,93.55,94.38,93.12,13939
2023-04-25,91.9,84.95,92.49,91.25,93.06,14050
2023-04-26,97.13,84.76,97.68,95.75,95.91,16890
2023-04-27,97.51,85.05,98.09,95.43,95.0,13284
2023-04-28,90.79,84.9,92.28,91.33,90.7,13492
2023-04-29,99.78,86.15,98.3,98.65,99.79,13241
2023-04-30,91.12,84.25,93.31,91.81,93.44,14203
2023-05-01,91.96,84.49,93.76,92.66,92.32,14939
2023-05-02,94.67,84.6,94.68,95.62,96.01,16246
2023-05-03,96.15,84.45,98.54,96.9,96.25,15493
2023-05-04,91.03,84.71,92.9,92.09,91.89,13956
2023-05-05,96.11,85.67,96.29,96.02,95.03,13365
2023-05-06,96.52,85.96,97.49,97.53,95.05,13419
2023-05-07,96.37,85.06,96.87,94.4,96.92,14698
2023-05-08,95.62,84.66,95.85,96.17,93.18,12907
2023-05-09,94.19,85.44,94.09,94.37,93.48,15436
2023-05-10,92.88,84.75,92.53,93.52,91.02,14776
2023-05-11,95.58,85.46,94.53,96.83,95.55,14972
2023-05-12,91.36,84.81,93.11,91.3,92.52,13821
2023-05-13,88.54,83.63,88.56,87.07,87.46,12418
2023-05-14,95.64,85.53,96.86,96.12,95.36,13945
2023-05-15,96.78,85.81,99.29,96.84,96.45,14641
2023-05-16,89.78,83.92,89.19,90.93,89.66,15396
2023-05-17,91.43,84.42,93.07,91.55,91.85,14996
2023-05-18,95.18,84.72,94.87,95.4,96.27,14010
2023-05-19,98.72,84.68,98.41,99.0,97.91,12538
2023-05-20,95.3,85.09,95.83,93.93,95.31,13636
2023-05-21,94.17,85.76,95.15,93.91,95.61,13806
2023-05-22,93.73,84.28,93.62,94.23,94.5,13414
2023-05-23,97.48,84.14,96.82,96.56,96.48,13990
2023-05-24,92.03,83.37,90.56,91.99,92.34,14318
2023-05-25,93.55,83.87,91.91,91.74,92.03,12885
2023-05-26,94.19,84.41,94.34,91.93,93.46,12824
2023-05-27,95.07,85.87,94.54,94.28,93.64,12222
2023-05-28,93.8,83.97,94.72,95.97,94.05,13316
2023-05-29,98.15,84.19,97.49,97.46,97.66,13308
2023-05-30,94.49,84.14,94.8,95.01,93.8,13472
2023-05-31,93.78,85.05,93.89,95.24,93.53,16471
2023-06-01,94.94,86.05,96.16,94.19,94.07,15257
2023-06-02,91.79,83.98,91.28,92.56,89.26,12925
2023-06-03,95.85,83.86,96.12,95.83,94.41,13245
2023-06-04,94.55,84.99,94.3,96.46,94.99,13790
2023-06-05,93.77,84.8,92.28,93.7,93.54,14661
2023-06-06,102.47,85.45,102.94,103.66,102.35,14164
2023-06-07,95.87,84.99,95.11,96.36,95.62,15552
2023-06-08,91.93,84.44,92.07,93.48,90.96,14033
2023-06-09,94.33,84.83,94.67,94.21,94.63,12785
2023-06-10,98.31,85.34,97.25,97.39,98.45,13494
2023-06-11,94.74,84.92,96.21,96.35,94.15,14444
2023-06-12,93.95,84.88,92.62,92.14,92.42,15440
2023-06-13,95.2,85.53,98.05,95.4,96.51,14164
2023-06-14,92.81,85.42,92.72,92.97,94.18,15441
2023-06-15,99.75,85.78,100.74,99.35,98.27,13986
2023-06-16,97.58,85.36,97.79,97.83,95.73,14044
2023-06-17,93.73,84.98,93.71,94.03,93.7,12267
2023-06-18,98.55,85.62,98.33,99.41,98.06,12507
2023-06-19,95.4,86.31,94.67,94.5,96.05,13337
2023-06-20,96.03,84.72,96.84,96.57,95.25,14711
2023-06-21,96.36,85.35,95.29,94.51,95.92,14018
2023-06-22,93.51,84.64,91.59,93.7,93.21,14619
2023-06-23,93.77,84.92,92.11,93.53,93.58,14158
2023-06-24,97.73,85.87,99.04,98.35,98.11,13778
2023-06-25,93.71,85.17,93.87,93.64,93.83,14477
2023-06-26,95.53,85.25,95.98,95.73,95.62,14342
2023-06-27,91.33,84.27,91.83,93.4,91.19,13974
2023-06-28,97.0,86.07,95.21,97.5,97.41,15728
2023-06-29,99.62,85.94,98.95,99.94,101.25,14037
2023-06-30,96.77,87.62,96.72,96.06,95.96,14119
2023-07-01,94.87,86.03,95.92,95.37,95.87,14494
2023-07-02,100.33,86.2,98.48,99.88,98.5,13317
2023-07-03,96.06,85.98,95.99,97.48,96.86,13133
2023-07-04,98.15,87.02,98.43,99.0,96.5,13899
2023-07-05,94.12,85.8,94.79,92.95,92.71,15588
2023-07-06,97.1,86.22,98.53,97.44,96.68,14354
2023-07-07,96.73,86.56,95.83,94.89,97.42,13509
2023-07-08,97.11,86.25,96.9,98.79,98.6,13933
2023-07-09,98.84,85.62,97.58,98.44,97.02,13518
2023-07-10,100.27,85.72,101.16,99.03,100.59,14162
2023-07-11,96.01,86.24,96.43,96.24,96.78,14594
2023-07-12,94.72,84.96,94.66,95.33,94.9,14618
2023-07-13,97.2,85.82,96.55,95.91,97.19,14789
2023-07-14,92.91,84.96,94.2,93.04,92.88,14144
2023-07-15,97.08,86.32,97.03,97.39,98.61,13160
2023-07-16,93.85,84.51,93.16,94.17,94.74,14114
2023-07-17,94.6,84.98,95.09,95.13,96.41,14137
2023-07-18,99.05,85.67,97.38,97.55,97.85,13635
2023-07-19,94.65,86.52,95.4,95.55,94.36,14338
2023-07-20,98.48,85.12,98.43,99.05,95.97,13485
2023-07-21,96.71,84.86,95.65,97.01,96.97,13388
2023-07-22,95.32,86.69,95.52,95.84,96.95,14218
2023-07-23,90.45,84.6,88.86,90.85,91.65,12817
2023-07-24,93.02,84.31,92.45,92.74,91.99,13918
2023-07-25,98.1,85.85,98.36,98.31,98.08,14179
2023-07-26,95.6,84.98,93.48,95.67,94.78,14321
2023-07-27,92.14,84.73,91.81,90.82,91.34,13080
2023-07-28,96.09,86.06,94.05,96.37,95.64,13273
2023-07-29,97.02,85.85,97.74,97.6,96.81,13132
2023-07-30,96.2,86.15,97.31,96.83,97.05,13911
2023-07-31,94.39,85.78,94.58,95.21,94.85,14264
2023-08-01,96.75,87.54,96.98,96.77,96.02,13728
2023-08-02,96.49,87.6,96.27,95.09,96.81,15462
2023-08-03,93.98,87.22,95.11,96.87,95.16,14986
2023-08-04,102.18,88.51,103.42,101.78,101.37,13775
2023-08-05,96.48,86.64,97.34,96.44,95.27,13141
2023-08-06,98.35,86.15,97.28,99.54,98.9,13038
2023-08-07,101.24,86.68,100.55,98.7,101.38,13854
2023-08-08,99.83,87.02,99.83,99.49,99.16,14872
2023-08-09,97.29,87.24,95.23,96.11,97.38,13286
2023-08-10,98.15,87.43,99.05,99.08,96.84,13982
2023-08-11,97.98,87.42,98.91,95.24,97.53,13264
2023-08-12,95.18,86.45,93.52,94.55,93.55,13009
2023-08-13,98.67,87.98,97.71,98.02,97.15,13871
2023-08-14,93.81,86.8,95.46,94.88,93.7,13671
2023-08-15,100.7,87.89,100.53,100.73,101.45,14301
2023-08-16,96.42,87.36,96.98,95.72,97.38,14477
2023-08-17,97.95,87.2,97.94,96.89,97.84,13675
2023-08-18,97.81,87.11,98.07,97.57,96.15,13248
2023-08-19,95.19,87.18,95.34,95.77,96.47,13861
2023-08-20,99.11,87.15,99.37,99.17,98.63,12640
2023-08-21,95.44,87.68,97.9,96.36,96.91,14689
2023-08-22,98.14,86.9,98.41,95.74,96.8,13147
2023-08-23,93.57,87.11,94.38,94.05,93.53,14461
2023-08-24,96.46,87.04,95.76,96.25,97.22,14091
2023-08-25,101.69,88.25,102.64,100.5,102.66,14879
2023-08-26,94.27,86.31,94.88,93.07,92.12,12786
2023-08-27,94.42,88.09,96.67,96.84,96.57,12446
2023-08-28,98.53,86.65,98.8,99.01,97.82,12626
2023-08-29,96.42,85.87,95.89,96.54,97.08,14638
2023-08-30,97.34,86.78,98.05,96.88,98.18,15345
2023-08-31,98.56,86.19,96.15,97.62,97.75,14254
2023-09-01,97.5,87.37,98.61,98.18,97.84,13921
2023-09-02,98.43,86.52,98.56,98.04,96.83,13811
2023-09-03,97.06,86.39,97.44,96.06,96.82,12912
2023-09-04,95.46,85.31,94.45,93.07,95.83,14319
2023-09-05,97.31,86.21,97.42,97.16,98.94,13606
2023-09-06,98.46,84.68,99.3,98.64,99.19,14262
2023-09-07,96.24,85.66,94.96,95.3,95.83,12881
2023-09-08,95.24,87.4,93.84,95.03,95.83,13333
2023-09-09,98.19,87.13,101.09,98.4,98.79,13438
2023-09-10,97.03,87.08,98.23,97.45,96.71,13514
2023-09-11,92.24,86.59,90.95,90.92,93.91,13927
2023-09-12,100.0,87.46,99.85,99.93,98.22,13782
2023-09-13,95.57,87.15,95.58,95.08,97.7,14777
2023-09-14,93.45,86.23,96.32,95.3,95.73,13904
2023-09-15,99.52,88.38,99.34,97.58,100.37,14471
2023-09-16,96.48,87.79,97.93,97.67,96.76,13226
2023-09-17,97.18,87.12,97.75,99.51,99.12,13393
2023-09-18,94.02,87.46,95.9,97.11,95.86,15776
2023-09-19,98.61,87.38,97.49,99.39,96.99,13596
2023-09-20,95.35,85.79,94.44,95.8,95.49,13929
2023-09-21,97.56,86.32,97.73,96.7,98.81,13610
2023-09-22,97.5,85.79,96.3,96.69,96.17,13292
2023-09-23,93.61,85.51,94.32,92.85,92.14,13326
2023-09-24,100.1,85.73,99.39,99.23,97.81,13509
2023-09-25,94.74,87.55,95.9,95.28,96.39,16221
2023-09-26,98.57,86.42,98.28,98.93,98.58,13097
2023-09-27,95.69,85.47,96.71,97.1,97.16,15581
2023-09-28,100.54,86.3,100.45,101.81,99.92,14006
2023-09-29,97.07,87.21,96.83,96.35,98.61,13278
2023-09-30,96.91,86.55,96.59,96.56,96.08,12650
2023-10-01,97.01,86.21,96.65,98.45,95.82,12717
2023-10-02,94.45,85.71,93.87,94.49,93.5,15037
2023-10-03,98.29,86.44,98.9,96.5,97.77,15102
2023-10-04,94.37,86.33,93.98,91.21,92.76,14319
2023-10-05,94.67,86.72,93.85,95.33,95.57,15411
2023-10-06,93.06,86.4,94.31,92.39,94.73,12834
2023-10-07,98.52,86.71,99.29,98.24,97.43,12272
2023-10-08,98.43,85.51,98.73,99.37,99.11,12078
2023-10-09,98.46,86.84,97.7,96.81,97.3,13172
2023-10-10,97.08,86.2,98.23,96.29,97.39,14780
2023-10-11,97.67,87.87,97.23,98.24,98.9,14984
2023-10-12,97.83,85.66,96.6,99.26,98.74,14553
2023-10-13,96.36,87.84,96.29,95.03,96.04,12566
2023-10-14,96.82,86.32,97.52,96.12,97.19,13730
2023-10-15,97.21,85.69,97.41,96.87,98.89,13624
2023-10-16,98.59,85.94,98.4,97.77,95.61,14139
2023-10-17,95.55,86.12,95.16,97.4,96.15,13468
2023-10-18,98.66,86.5,99.2,98.95,97.73,14986
2023-10-19,91.96,86.52,90.51,92.3,91.5,13380
2023-10-20,96.29,85.64,98.72,95.82,98.23,13670
2023-10-21,95.99,85.9,96.58,96.26,93.99,13436
2023-10-22,92.55,87.6,93.18,95.47,91.55,13611
2023-10-23,99.0,87.39,97.87,99.15,98.0,13227
2023-10-24,99.5,86.33,99.94,100.86,100.0,14808
2023-10-25,96.04,86.26,95.6,94.33,96.52,13552
2023-10-26,99.13,86.38,98.25,97.77,98.72,14927
2023-10-27,100.5,86.91,100.16,99.4,99.86,13331
2023-10-28,97.91,85.91,96.62,99.26,97.26,13877
2023-10-29,99.17,86.26,99.52,98.49,100.05,13034
2023-10-30,95.91,85.14,95.94,97.39,95.79,13717
2023-10-31,99.11,86.76,96.42,98.28,99.1,13760
2023-11-01,94.21,87.07,95.31,94.56,94.44,15593
2023-11-02,94.44,86.28,94.53,96.07,95.2,14073
2023-11-03,96.33,87.74,96.87,95.07,95.44,13930
2023-11-04,99.37,86.07,100.13,99.56,100.32,13080
2023-11-05,94.9,85.77,95.14,96.67,95.18,12245
2023-11-06,97.06,87.07,98.11,98.1,98.44,13844
2023-11-07,98.48,87.61,99.05,98.67,98.89,13872
2023-11-08,97.83,88.0,98.66,97.67,97.36,14812
2023-11-09,100.61,86.75,101.11,98.11,102.03,13467
2023-11-10,97.08,88.01,96.43,95.69,96.82,14058
2023-11-11,98.91,87.41,97.19,99.71,98.57,13022
2023-11-12,94.98,87.61,95.04,94.85,95.52,13244
2023-11-13,95.47,88.36,94.89,95.91,96.08,14473
2023-11-14,98.95,88.35,100.07,98.13,97.44,15230
2023-11-15,97.03,86.72,97.89,95.39,94.75,14497
2023-11-16,98.45,88.93,96.72,98.25,100.08,13770
2023-11-17,97.37,88.83,96.12,98.38,98.74,12549
2023-11-18,93.87,87.45,95.12,94.65,94.24,12908
2023-11-19,97.75,88.3,98.68,101.0,97.03,13191
2023-11-20,95.45,88.18,95.72,93.5,95.52,13897
2023-11-21,100.77,88.49,99.75,101.07,100.1,14243
2023-11-22,98.34,87.7,97.74,97.69,98.22,15163
2023-11-23,94.75,87.34,94.75,95.19,94.61,13942
2023-11-24,98.9,88.05,97.52,97.87,97.94,13304
2023-11-25,96.67,89.07,95.34,96.83,99.01,14075
2023-11-26,100.36,88.77,99.18,99.63,99.97,13384
2023-11-27,99.67,88.27,100.1,99.09,99.9,13932
2023-11-28,95.54,89.07,95.49,95.92,96.68,14309
2023-11-29,98.67,86.33,99.54,96.86,98.2,14192
2023-11-30,100.54,89.14,99.19,99.46,101.98,13656
2023-12-01,98.47,86.97,98.0,99.37,97.19,13185
2023-12-02,99.16,88.15,99.5,98.95,98.82,13660
2023-12-03,95.57,87.59,96.57,96.23,94.0,13194
2023-12-04,98.59,87.28,97.06,95.76,97.2,12596
2023-12-05,98.07,88.93,97.94,96.62,96.79,15660
2023-12-06,102.33,87.88,102.09,101.22,101.96,14883
2023-12-07,98.3,88.33,97.24,99.8,97.59,13348
2023-12-08,101.99,87.86,102.14,101.43,99.98,13125
2023-12-09,98.13,88.29,97.24,98.21,97.69,13140
2023-12-10,95.89,88.06,97.2,95.74,94.67,14505
2023-12-11,94.06,87.0,93.05,95.14,94.72,13292
2023-12-12,94.21,88.48,94.46,95.54,92.81,15351
2023-12-13,92.35,87.49,94.03,96.27,94.35,16647
2023-12-14,96.47,86.42,97.93,96.08,94.88,13881
2023-12-15,97.6,86.9,98.83,97.54,97.59,13530
2023-12-16,96.41,88.09,93.68,95.16,96.57,12211
2023-12-17,99.74,87.58,99.43,100.02,99.73,13171
2023-12-18,94.3,86.81,95.14,95.63,94.98,14190
2023-12-19,96.68,87.14,96.18,96.57,97.41,15118
2023-12-20,99.97,87.36,100.36,101.46,100.6,15853
2023-12-21,101.47,89.0,100.49,101.51,101.27,13738
2023-12-22,97.55,87.81,99.7,96.36,95.91,12290
2023-12-23,97.4,87.62,96.27,97.19,96.43,12954
2023-12-24,92.13,88.03,92.35,94.9,91.03,13686
2023-12-25,95.65,87.41,95.41,96.11,95.35,14139
2023-12-26,95.83,87.14,97.74,96.8,96.23,14674
2023-12-27,96.68,87.0,97.11,95.58,95.66,14719
2023-12-28,96.54,87.2,95.35,96.08,96.96,15351
2023-12-29,97.03,87.57,95.84,97.75,96.32,13803
2023-12-30,97.21,88.08,99.5,95.48,96.65,12934
2023-12-31,97.22,87.7,96.79,97.27,96.6,12913
